Product_Number,Non_Proprietary_Name,Manufacturer,Dosage,Unit,Category_Description,Price,Quantity
43353-234,Venlafaxine Hydrochloride,"Aphena Pharma Solutions - Tennessee, LLC",150,mg/1,"Norepinephrine Uptake Inhibitors [MoA], Serotonin Uptake Inhibitors [MoA], Serotonin and Norepinephrine Reuptake Inhibitor [EPC]",$57.28,93
63629-8603,temazepam,Bryant Ranch Prepack,15,mg/1,"Benzodiazepine [EPC], Benzodiazepines [CS]",$115.75,60
55154-8138,Heparin Sodium,"Cardinal Health 107, LLC",5000,[USP'U]/mL,"Anti-coagulant [EPC], Heparin [CS], Unfractionated Heparin [EPC]",$36.89,55
65862-752,cefixime,Aurobindo Pharma Limited,200,mg/5mL,"Cephalosporin Antibacterial [EPC], Cephalosporins [CS]",$59.65,87
70518-2183,Doxazosin,REMEDYREPACK INC.,1,mg/1,"Adrenergic alpha-Antagonists [MoA], alpha-Adrenergic Blocker [EPC]",$2.31,69
55154-6883,Carvedilol,"Cardinal Health 107, LLC",3.125,mg/1,"Adrenergic alpha-Antagonists [MoA], Adrenergic beta1-Antagonists [MoA], Adrenergic beta2-Antagonists [MoA], alpha-Adrenergic Blocker [EPC], beta-Adrenergic Blocker [EPC]",$26.92,25
69945-030,Technetium Tc-99m,Curium US LLC,3,Ci/1,,$210.29,3
72304-015,"ARTICAINE HYDROCHLORIDE, EPINEPHRINE BITARTRATE","Midway Dental Supply, LLC",40; 10,mg/mL; ug/mL,"Adrenergic alpha-Agonists [MoA], Adrenergic beta-Agonists [MoA], Amide Local Anesthetic [EPC], Amides [CS], Catecholamine [EPC], Catecholamines [CS], Local Anesthesia [PE], alpha-Adrenergic Agonist [EPC], beta-Adrenergic Agonist [EPC]",$5.62,55
51655-086,Ciprofloxacin,"Northwind Pharmaceuticals, LLC",250,mg/1,"Quinolone Antimicrobial [EPC], Quinolones [CS]",$63.04,21
55700-575,Rosuvastatin,"Quality Care Products, LLC",20,mg/1,"HMG-CoA Reductase Inhibitor [EPC], Hydroxymethylglutaryl-CoA Reductase Inhibitors [MoA]",$97.03,53
49884-907,Megestrol Acetate,"Par Pharmaceutical, Inc.",40,mg/mL,"Progesterone Congeners [CS], Progestin [EPC]",$38.60,13
80425-0149,Gabapentin,"Advanced Rx Pharmacy of Tennessee, LLC",300,mg/1,"Anti-epileptic Agent [EPC], Decreased Central Nervous System Disorganized Electrical Activity [PE]",$97.58,95
0597-0033,clonidine,Boehringer Ingelheim Pharmaceuticals Inc.,0.3,mg/d,"Adrenergic alpha2-Agonists [MoA], Central alpha-2 Adrenergic Agonist [EPC]",$11.87,38
72578-113,bisoprolol fumarate and hydrochlorothiazide,Viona Pharmaceuticals Inc,2.5; 6.25,mg/1; mg/1,"Adrenergic beta-Antagonists [MoA], Increased Diuresis [PE], Thiazide Diuretic [EPC], Thiazides [CS], beta-Adrenergic Blocker [EPC]",$12.54,35
70518-2189,amoxicillin and clavulanate potassium,REMEDYREPACK INC.,500; 125,mg/1; mg/1,"Penicillin-class Antibacterial [EPC], Penicillins [CS], beta Lactamase Inhibitor [EPC], beta Lactamase Inhibitors [MoA]",$59.41,46
61570-074,esterified estrogens,Pfizer Laboratories Div Pfizer Inc,1.25,mg/1,,$107.64,36
52584-046,phytonadione,"General Injectables & Vaccines, Inc",1,mg/.5mL,"Increased Prothrombin Activity [PE], Reversed Anticoagulation Activity [PE], Vitamin K [CS], Vitamin K [EPC], Warfarin Reversal Agent [EPC]",$52.48,73
43498-107,Sodium Fluoride,Burkhart Dental Supply Inc,5.6,g/454g,,$32.56,12
0904-6585,Bupropion Hydrochloride,Major Pharmaceuticals,150,mg/1,"Aminoketone [EPC], Dopamine Uptake Inhibitors [MoA], Increased Dopamine Activity [PE], Increased Norepinephrine Activity [PE], Norepinephrine Uptake Inhibitors [MoA]",$72.05,88
0054-2526,Lithium Carbonate,Hikma Pharmaceuticals USA Inc.,150,mg/1,Mood Stabilizer [EPC],$15.80,77
51662-1564,ZIPRASIDONE MESYLATE,"HF Acquisition Co LLC, DBA HealthFirst",20,mg/mL,Atypical Antipsychotic [EPC],$191.57,26
0781-3451,Cefazolin,Sandoz Inc,1,g/1,"Cephalosporin Antibacterial [EPC], Cephalosporins [CS]",$118.70,22
71571-333,loteprednol etabonate,"ALCON LABORATORIES, INC.",2.5,mg/mL,"Corticosteroid Hormone Receptor Agonists [MoA], Corticosteroid [EPC]",$17.75,60
65862-838,"Amlodipine, Valsartan and Hydrochlorothiazide",Aurobindo Pharma Limited,10; 25; 320,mg/1; mg/1; mg/1,"Angiotensin 2 Receptor Antagonists [MoA], Angiotensin 2 Receptor Blocker [EPC], Calcium Channel Antagonists [MoA], Calcium Channel Blocker [EPC], Cytochrome P450 3A Inhibitors [MoA], Dihydropyridine Calcium Channel Blocker [EPC], Dihydropyridines [CS], Increased Diuresis [PE], Thiazide Diuretic [EPC], Thiazides [CS]",$45.04,77
24208-416,Fluocinolone Acetonide,Bausch & Lomb Incorporated,0.59,mg/1,"Corticosteroid Hormone Receptor Agonists [MoA], Corticosteroid [EPC]",$34.13,66
61919-645,Sulfameth/Trimeth-DS,Direct_Rx,800; 160,mg/1; mg/1,"Cytochrome P450 2C8 Inhibitors [MoA], Cytochrome P450 2C9 Inhibitors [MoA], Dihydrofolate Reductase Inhibitor Antibacterial [EPC], Dihydrofolate Reductase Inhibitors [MoA], Organic Cation Transporter 2 Inhibitors [MoA], Sulfonamide Antimicrobial [EPC], Sulfonamides [CS]",$17.57,100
0054-2531,Lithium Carbonate,Hikma Pharmaceuticals USA Inc.,600,mg/1,Mood Stabilizer [EPC],$29.61,38
68788-8105,Fluocinonide,Preferred Pharmaceuticals Inc.,0.5,mg/g,"Corticosteroid Hormone Receptor Agonists [MoA], Corticosteroid [EPC]",$45.58,76
51862-453,CLONIDINE,Mayne Pharma Inc.,0.1,mg/24h,"Adrenergic alpha2-Agonists [MoA], Central alpha-2 Adrenergic Agonist [EPC]",$237.85,48
51991-881,Teriflunomide,"Breckenridge Pharmaceutical, Inc.",7,mg/1,"Dihydroorotate Dehydrogenase Inhibitors [MoA], Pyrimidine Synthesis Inhibitor [EPC]",$100.50,96
0781-3827,Glycopyrrolate,Sandoz Inc,0.4,mg/2mL,"Anticholinergic [EPC], Cholinergic Antagonists [MoA]",$55.55,49
70771-1312,Desvenlafaxine,Zydus Lifesciences Limited,100,mg/1,"Cytochrome P450 2D6 Inhibitors [MoA], Norepinephrine Uptake Inhibitors [MoA], Serotonin Uptake Inhibitors [MoA], Serotonin and Norepinephrine Reuptake Inhibitor [EPC]",$197.97,42
58657-702,Haloperidol,"Method Pharmaceuticals, LLC",2,mg/1,Typical Antipsychotic [EPC],$149.30,26
51655-762,Benzonatate,Northwind Pharmaceuticals,200,mg/1,"Decreased Tracheobronchial Stretch Receptor Activity [PE], Non-narcotic Antitussive [EPC]",$51.78,89
67877-658,Clobazam,"Ascend Laboratories, LLC",2.5,mg/mL,"Benzodiazepine [EPC], Benzodiazepines [CS], Cytochrome P450 2D6 Inhibitors [MoA], Cytochrome P450 3A4 Inducers [MoA]",$16.48,24
0409-2066,Lidocaine Hydrochloride,"Hospira, Inc.",20,mg/mL,"Amide Local Anesthetic [EPC], Amides [CS], Antiarrhythmic [EPC], Local Anesthesia [PE]",$102.54,65
16714-767,cefixime,NorthStar RxLLC,200,mg/5mL,"Cephalosporin Antibacterial [EPC], Cephalosporins [CS]",$35.89,64
51991-819,propranolol hydrochloride,"Breckenridge Pharmaceutical, Inc.",120,mg/1,"Adrenergic beta-Antagonists [MoA], beta-Adrenergic Blocker [EPC]",$98.78,12
70377-004,Simvastatin,"Biocon Pharma Inc,",40,mg/1,"HMG-CoA Reductase Inhibitor [EPC], Hydroxymethylglutaryl-CoA Reductase Inhibitors [MoA]",$78.23,14
51525-0430,felbamate,Wallace Pharmaceuticals Inc.,400,mg/1,"Anti-epileptic Agent [EPC], Decreased Central Nervous System Disorganized Electrical Activity [PE]",$2.42,4
69117-0043,Buspirone hydrochloride,"Yiling Pharmaceutical, Inc.",30,mg/1,,$55.45,18
71205-643,Benzonatate,Proficient Rx LP,200,mg/1,"Decreased Tracheobronchial Stretch Receptor Activity [PE], Non-narcotic Antitussive [EPC]",$71.72,29
75828-001,Oxygen,"Pure-Ox, LLC",99,L/100L,,$29.11,70
43063-086,Famotidine,"PD-Rx Pharmaceuticals, Inc.",20,mg/1,"Histamine H2 Receptor Antagonists [MoA], Histamine-2 Receptor Antagonist [EPC]",$30.89,33
68084-354,OXYCODONE HYDROCHLORIDE,American Health Packaging,5,mg/1,"Full Opioid Agonists [MoA], Opioid Agonist [EPC]",$45.66,44
10942-2001,Oxygen,Raimy Corporation,996,mL/L,,$18.23,29
16729-457,Levothyroxine Sodium,Accord Healthcare Inc.,200,ug/1,"Thyroxine [CS], l-Thyroxine [EPC]",$16.35,3
70518-2494,PANTOPRAZOLE,REMEDYREPACK INC.,20,mg/1,"Proton Pump Inhibitor [EPC], Proton Pump Inhibitors [MoA]",$38.06,53
60760-369,Nabumetone,St. Mary's Medical Park Pharmacy,750,mg/1,"Anti-Inflammatory Agents, Non-Steroidal [CS], Cyclooxygenase Inhibitors [MoA], Nonsteroidal Anti-inflammatory Drug [EPC]",$27.58,39
45802-144,hydrocortisone acetate pramoxine hcl,Padagis Israel Pharmaceuticals Ltd,1; 1,g/100g; g/100g,"Corticosteroid Hormone Receptor Agonists [MoA], Corticosteroid [EPC]",$40.63,19
68462-321,ezetimibe and simvastatin,"Glenmark Pharmaceuticals Inc., USA",10; 10,mg/1; mg/1,"Decreased Cholesterol Absorption [PE], Dietary Cholesterol Absorption Inhibitor [EPC], HMG-CoA Reductase Inhibitor [EPC], Hydroxymethylglutaryl-CoA Reductase Inhibitors [MoA]",$39.02,12
72189-157,CARBAMAZEPINE,direct rx,200,mg/1,"Cytochrome P450 1A2 Inducers [MoA], Cytochrome P450 2B6 Inducers [MoA], Cytochrome P450 2C19 Inducers [MoA], Cytochrome P450 2C9 Inducers [MoA], Cytochrome P450 3A4 Inducers [MoA], Decreased Central Nervous System Disorganized Electrical Activity [PE], Mood Stabilizer [EPC]",$37.17,2
70771-1187,Amlodipine and olmesartan medoxomil,Zydus Lifesciences Limited,10; 20,mg/1; mg/1,"Angiotensin 2 Receptor Antagonists [MoA], Angiotensin 2 Receptor Blocker [EPC], Calcium Channel Antagonists [MoA], Calcium Channel Blocker [EPC], Cytochrome P450 3A Inhibitors [MoA], Dihydropyridine Calcium Channel Blocker [EPC], Dihydropyridines [CS]",$156.99,97
50090-5363,Atenolol,A-S Medication Solutions,50,mg/1,"Adrenergic beta-Antagonists [MoA], beta-Adrenergic Blocker [EPC]",$30.37,53
50383-810,Acyclovir,Akorn,200,mg/5mL,"DNA Polymerase Inhibitors [MoA], Herpes Simplex Virus Nucleoside Analog DNA Polymerase Inhibitor [EPC], Herpes Zoster Virus Nucleoside Analog DNA Polymerase Inhibitor [EPC], Herpesvirus Nucleoside Analog DNA Polymerase Inhibitor [EPC], Nucleoside Analog [EXT]",$59.45,97
45865-605,Hydrocodone Bitartrate And Acetaminophen,Medsource Pharmaceticals,325; 5,mg/1; mg/1,"Opioid Agonist [EPC], Opioid Agonists [MoA]",$64.46,94
71335-9645,Ramipril,Bryant Ranch Prepack,5,mg/1,"Angiotensin Converting Enzyme Inhibitor [EPC], Angiotensin-converting Enzyme Inhibitors [MoA]",$44.17,13
50228-140,Donepezil Hydrochloride,"ScieGen Pharmaceuticals, Inc.",10,mg/1,"Cholinesterase Inhibitor [EPC], Cholinesterase Inhibitors [MoA]",$90.14,8
64330-634,Amitriptyline Hydrochloride,Centaur Pharmaceuticals Private Limited,100,mg/1,Tricyclic Antidepressant [EPC],$97.20,39
50242-137,tocilizumab,"Genentech, Inc.",400,mg/20mL,"Interleukin 6 Receptor Antagonists [MoA], Interleukin-6 Receptor Antagonist [EPC]",$8.89,66
47335-934,ketorolac tromethamine,"Sun Pharmaceutical Industries, Inc.",30,mg/mL,"Anti-Inflammatory Agents, Non-Steroidal [CS], Cyclooxygenase Inhibitor [EPC], Cyclooxygenase Inhibitors [MoA], Nonsteroidal Anti-inflammatory Drug [EPC]",$135.73,3
50090-1594,Pravastatin Sodium,A-S Medication Solutions,10,mg/1,"HMG-CoA Reductase Inhibitor [EPC], Hydroxymethylglutaryl-CoA Reductase Inhibitors [MoA]",$46.92,90
76420-223,rabeprazole sodium,"Asclemed USA, Inc.",20,mg/1,"Proton Pump Inhibitor [EPC], Proton Pump Inhibitors [MoA]",$56.22,1
67296-1268,bisoprolol fumarate and hydrochlorothiazide,"RedPharm Drug, Inc.",2.5; 6.25,mg/1; mg/1,"Adrenergic beta-Antagonists [MoA], Increased Diuresis [PE], Thiazide Diuretic [EPC], Thiazides [CS], beta-Adrenergic Blocker [EPC]",$9.30,56
70771-1208,itraconazole,Zydus Lifesciences Limited,100,mg/1,"Azole Antifungal [EPC], Azoles [CS], Breast Cancer Resistance Protein Inhibitors [MoA], Cytochrome P450 3A4 Inhibitors [MoA], P-Glycoprotein Inhibitors [MoA]",$1.12,6
70518-3584,Chlorpromazine Hydrochloride,REMEDYREPACK INC.,100,mg/1,"Phenothiazine [EPC], Phenothiazines [CS]",$35.37,52
61919-686,DECLOFENAC SODIUM,DIRECT RX,75,mg/1,"Anti-Inflammatory Agents, Non-Steroidal [CS], Cyclooxygenase Inhibitors [MoA], Decreased Prostaglandin Production [PE], Nonsteroidal Anti-inflammatory Drug [EPC]",$13.19,97
0409-0186,GEMCITABINE,"Hospira, Inc.",38,mg/mL,"Nucleic Acid Synthesis Inhibitors [MoA], Nucleoside Metabolic Inhibitor [EPC]",$56.76,1
0904-6828,Oxycodone Hydrochloride,MAJOR PHARMACEUTICALS,5,mg/5mL,"Full Opioid Agonists [MoA], Opioid Agonist [EPC]",$18.75,19
65862-833,Cinacalcet,Aurobindo Pharma Limited,90,mg/1,"Calcium-sensing Receptor Agonist [EPC], Increased Calcium-sensing Receptor Sensitivity [MoA]",$78.60,36
62484-0020,Purixan,"Nova Laboratories, Ltd",20,mg/mL,"Nucleic Acid Synthesis Inhibitors [MoA], Nucleoside Metabolic Inhibitor [EPC]",$145.87,47
0904-6477,Donepezil Hydrochloride,Major Pharmaceuticals,5,mg/1,"Cholinesterase Inhibitor [EPC], Cholinesterase Inhibitors [MoA]",$54.15,10
71894-129,onasemnogene abeparvovec-xioi,"Novartis Gene Therapies, Inc.",,,,$8.38,9
70518-3448,Cephalexin,REMEDYREPACK INC.,500,mg/1,"Cephalosporin Antibacterial [EPC], Cephalosporins [CS]",$158.21,66
72789-035,Cefuroxime axetil,"PD-Rx Pharmaceuticals, Inc.",500,mg/1,"Cephalosporin Antibacterial [EPC], Cephalosporins [CS]",$37.17,65
0338-0117,"Sodium chloride, potassium chloride, sodium lactate and calcium chloride",Baxter Healthcare Corporation,20; 30; 600; 310,mg/100mL; mg/100mL; mg/100mL; mg/100mL,"Blood Coagulation Factor [EPC], Calcium [CS], Cations, Divalent [CS], Increased Coagulation Factor Activity [PE], Increased Large Intestinal Motility [PE], Increased Large Intestinal Motility [PE], Increased Large Intestinal Motility [PE], Inhibition Large Intestine Fluid/Electrolyte Absorption [PE], Inhibition Large Intestine Fluid/Electrolyte Absorption [PE], Inhibition Large Intestine Fluid/Electrolyte Absorption [PE], Osmotic Activity [MoA], Osmotic Activity [MoA], Osmotic Activity [MoA], Osmotic Laxative [EPC], Osmotic Laxative [EPC], Osmotic Laxative [EPC], Potassium Compounds [CS], Potassium Salt [EPC]",$73.59,4
50090-6403,Aripiprazole,A-S Medication Solutions,20,mg/1,Atypical Antipsychotic [EPC],$117.01,39
61919-348,ZOLPIDEM TARTRATE,DIRECT RX,12.5,mg/1,"Central Nervous System Depression [PE], GABA A Agonists [MoA], Pyridines [CS], gamma-Aminobutyric Acid-ergic Agonist [EPC]",$17.83,81
29033-056,METFORMIN HYDROCHLORIDE,Nostrum Laboratories Inc.,750,mg/1,"Biguanide [EPC], Biguanides [CS]",$0.26,36
0053-0160,etranacogene dezaparvovec,CSL Behring,,,,$102.65,21
71288-167,Pemetrexed disodium,Meitheal Pharmaceuticals Inc.,500,mg/50mL,"Folate Analog Metabolic Inhibitor [EPC], Folic Acid Metabolism Inhibitors [MoA]",$177.20,37
71205-939,Terbutaline Sulfate,Proficient Rx LP,5,mg/1,,$158.59,96
62332-123,Pregabalin,Alembic Pharmaceuticals Inc.,150,mg/1,,$50.88,35
70771-1092,temozolomide,Zydus Lifesciences Limited,5,mg/1,"Alkylating Activity [MoA], Alkylating Drug [EPC]",$148.31,42
59088-177,"Ferrous Fumarate, Folic Acid",PureTek Corporation,30; 120; 200; 20; 35; 8; 27; 1000; 200; 2.3; 45; 20; 20; 3.4; 55; 3; 1500; 25,mg/1; mg/1; mg/1; ug/1; ug/1; ug/1; mg/1; ug/1; mg/1; mg/1; ug/1; mg/1; mg/1; mg/1; ug/1; mg/1; ug/1; mg/1,"Analogs/Derivatives [Chemical/Ingredient], Ascorbic Acid [CS], Blood Coagulation Factor [EPC], Calcium [CS], Calculi Dissolution Agent [EPC], Cations, Divalent [CS], Copper Absorption Inhibitor [EPC], Decreased Copper Ion Absorption [PE], Increased Coagulation Factor Activity [PE], Increased Large Intestinal Motility [PE], Inhibition Large Intestine Fluid/Electrolyte Absorption [PE], Inhibition Small Intestine Fluid/Electrolyte Absorption [PE], Magnesium Ion Exchange Activity [MoA], Magnetic Resonance Contrast Activity [MoA], Osmotic Activity [MoA], Osmotic Laxative [EPC], Paramagnetic Contrast Agent [EPC], Stimulation Large Intestine Fluid/Electrolyte Secretion [PE], Vitamin A [CS], Vitamin A [EPC], Vitamin B 12 [CS], Vitamin B 6 [Chemical/Ingredient], Vitamin B12 [EPC], Vitamin B6 Analog [EPC], Vitamin C [EPC], Vitamin D [CS], Vitamin D [EPC]",$100.05,38
68084-202,Primidone,American Health Packaging,50,mg/1,"Anti-epileptic Agent [EPC], Decreased Central Nervous System Disorganized Electrical Activity [PE]",$47.78,86
55111-150,Fluoxetine,Dr.Reddy's Laboratories Limited,10,mg/1,"Serotonin Reuptake Inhibitor [EPC], Serotonin Uptake Inhibitors [MoA]",$10.32,31
65862-652,Memantine Hydrochloride,Aurobindo Pharma Limited,5,mg/1,"N-methyl-D-aspartate Receptor Antagonist [EPC], NMDA Receptor Antagonists [MoA]",$161.94,14
55513-485,apremilast,Amgen Inc,,,,$20.94,65
66658-112,palifermin,Swedish Orphan Biovitrum AB (publ),6.25,mg/1.2mL,"Fibroblast Growth Factor 7 [CS], Increased Epithelial Proliferation [PE], Mucocutaneous Epithelial Cell Growth Factor [EPC]",$128.41,90
63187-888,clonazepam,Proficient Rx LP,1,mg/1,"Benzodiazepine [EPC], Benzodiazepines [CS]",$63.09,45
40032-095,Fluocinonide,"Novel Laboratories, Inc.",0.5,mg/g,"Corticosteroid Hormone Receptor Agonists [MoA], Corticosteroid [EPC]",$63.38,4
43598-131,HYDROXYCHLOROQUINE SULFATE,Dr. Reddy's Laboratories Inc.,400,mg/1,"Antimalarial [EPC], Antirheumatic Agent [EPC]",$16.19,36
57664-228,Methylphenidate Hydrochloride,"Sun Pharmaceutical Industries, Inc.",5,mg/1,"Central Nervous System Stimulant [EPC], Central Nervous System Stimulation [PE]",$29.54,16
0904-6592,TOLTERODINE,Major Pharmaceuticals,2,mg/1,"Cholinergic Muscarinic Antagonist [EPC], Cholinergic Muscarinic Antagonists [MoA]",$63.23,97
0409-7337,Ceftriaxone Sodium,"Hospira, Inc",250,mg/1,"Cephalosporin Antibacterial [EPC], Cephalosporins [CS]",$92.76,43
0378-1941,Lenalidomide,Mylan Pharmaceuticals Inc.,15,mg/1,Thalidomide Analog [EPC],$57.43,38
62072-456,AMMONIA N-13,Kreitchman PET Center,37.5,mCi/mL,"Radioactive Diagnostic Agent [EPC], Radiopharmaceutical Activity [MoA]",$22.31,51
0781-3244,cyclophosphamide,Sandoz Inc.,1,g/50mL,"Alkylating Activity [MoA], Alkylating Drug [EPC]",$136.35,14
0904-6666,Gabapentin,Major Pharmaceuticals,300,mg/1,"Anti-epileptic Agent [EPC], Decreased Central Nervous System Disorganized Electrical Activity [PE]",$66.61,78
63629-9295,Alfuzosin Hydrochloride,Bryant Ranch Prepack,10,mg/1,"Adrenergic alpha-Antagonists [MoA], alpha-Adrenergic Blocker [EPC]",$36.65,65
0591-3128,PROGESTERONE,"Actavis Pharma, Inc.",50,mg/mL,"Progesterone [CS], Progesterone [EPC]",$55.66,48
55111-258,ziprasidone hydrochloride,Dr. Reddy's Laboratories Limited,60,mg/1,Atypical Antipsychotic [EPC],$36.59,85
24794-102,Sodium Fluoride,Crosstex International Inc.,5.6,g/454g,,$11.43,62
0378-6680,sunitinib malate,Mylan Pharmaceuticals Inc.,50,mg/1,"Kinase Inhibitor [EPC], Protein Kinase Inhibitors [MoA]",$59.30,42
69238-1158,Ezetimibe and Simvastatin,Amneal Pharmaceuticals NY LLC,10; 80,mg/1; mg/1,"Decreased Cholesterol Absorption [PE], Dietary Cholesterol Absorption Inhibitor [EPC], HMG-CoA Reductase Inhibitor [EPC], Hydroxymethylglutaryl-CoA Reductase Inhibitors [MoA]",$49.94,71
16714-818,Oseltamivir Phosphate,NorthStar RxLLC,45,mg/1,,$42.02,79
61919-844,AMLODIPINE BESYLATE,Direct_Rx,5,mg/1,"Calcium Channel Antagonists [MoA], Dihydropyridine Calcium Channel Blocker [EPC], Dihydropyridines [CS]",$0.51,87
70710-1050,ATAZANAVIR,Zydus Pharmaceuticals USA Inc.,150,mg/1,"Cytochrome P450 2C8 Inhibitors [MoA], Cytochrome P450 3A Inhibitors [MoA], Cytochrome P450 3A4 Inhibitors [MoA], HIV Protease Inhibitors [MoA], Protease Inhibitor [EPC], UDP Glucuronosyltransferases Inhibitors [MoA], UGT1A1 Inhibitors [MoA]",$13.39,36
43063-925,clonidine hydrochloride,"PD-Rx Pharmaceuticals, Inc.",0.2,mg/1,"Adrenergic alpha2-Agonists [MoA], Central alpha-2 Adrenergic Agonist [EPC]",$23.11,41
62332-204,itraconazole,Alembic Pharmaceuticals Inc.,100,mg/1,"Azole Antifungal [EPC], Azoles [CS], Breast Cancer Resistance Protein Inhibitors [MoA], Cytochrome P450 3A4 Inhibitors [MoA], P-Glycoprotein Inhibitors [MoA]",$97.54,69
71335-0715,Pantoprazole Sodium,Bryant Ranch Prepack,40,mg/1,"Proton Pump Inhibitor [EPC], Proton Pump Inhibitors [MoA]",$29.39,98
65919-002,NITROGEN,"Clinical 1 Home Medical, Inc.",99,L/100L,,$73.56,79
69367-343,Gabapentin,"Westminster Pharmaceuticals, LLC",100,mg/1,"Anti-epileptic Agent [EPC], Decreased Central Nervous System Disorganized Electrical Activity [PE]",$8.51,42
60505-0830,MOMETASONE FUROATE,Apotex Corp.,50,ug/1,"Corticosteroid Hormone Receptor Agonists [MoA], Corticosteroid Hormone Receptor Agonists [MoA], Corticosteroid [EPC]",$33.18,74
71872-7107,Ondansetron,"Medical Purchasing Solutions, LLC",2,mg/mL,"Serotonin 3 Receptor Antagonists [MoA], Serotonin-3 Receptor Antagonist [EPC]",$95.00,16
50742-252,diltiazem hydrochloride,"Ingenus Pharmaceuticals, LLC",360,mg/1,"Calcium Channel Antagonists [MoA], Calcium Channel Blocker [EPC]",$87.45,8
63187-020,Prednisone,Proficient Rx LP,5,mg/1,"Corticosteroid Hormone Receptor Agonists [MoA], Corticosteroid [EPC]",$6.56,54
42708-076,Amoxicillin,QPharma Inc,500,mg/1,"Penicillin-class Antibacterial [EPC], Penicillins [CS]",$73.57,66
51407-020,Flecainide Acetate Tablet,"Golden State Medical Supply, Inc.",150,mg/1,Antiarrhythmic [EPC],$85.33,97
60505-3246,FAMCICLOVIR,Apotex Corp.,250,mg/1,"DNA Polymerase Inhibitors [MoA], Herpesvirus Nucleoside Analog DNA Polymerase Inhibitor [EPC], Nucleoside Analog [EXT]",$65.63,44
63323-540,HEPARIN SODIUM,"Fresenius Kabi USA, LLC",1000,[USP'U]/mL,"Anti-coagulant [EPC], Heparin [CS], Unfractionated Heparin [EPC]",$7.89,66
72658-0810,PREGABALIN,Eskayef Pharmaceuticals Limited,75,mg/1,,$32.32,89
63629-9491,"Dextroamphetamine Saccharate, Amphetamine Aspartate Monohydrate, Dextroamphetamine Sulfate, and Amphetamine Sulfate",Bryant Ranch Prepack,7.5; 7.5; 7.5; 7.5,mg/1; mg/1; mg/1; mg/1,"Central Nervous System Stimulant [EPC], Central Nervous System Stimulant [EPC], Central Nervous System Stimulant [EPC], Central Nervous System Stimulant [EPC], Central Nervous System Stimulation [PE], Central Nervous System Stimulation [PE], Central Nervous System Stimulation [PE], Central Nervous System Stimulation [PE]",$144.05,14
68788-8063,Estradiol,Preferred Pharmaceuticals Inc.,1,mg/1,"Estradiol Congeners [CS], Estrogen Receptor Agonists [MoA], Estrogen [EPC]",$99.33,76
0074-4382,Cisatracurium besylate,AbbVie Inc.,10,mg/mL,"Neuromuscular Nondepolarizing Blockade [PE], Nondepolarizing Neuromuscular Blocker [EPC]",$36.45,57
65162-212,Phenytoin Sodium,Amneal Pharmaceuticals LLC,100,mg/1,"Anti-epileptic Agent [EPC], Cytochrome P450 1A2 Inducers [MoA], Cytochrome P450 2B6 Inducers [MoA], Cytochrome P450 2C19 Inducers [MoA], Cytochrome P450 2C8 Inducers [MoA], Cytochrome P450 2C9 Inducers [MoA], Cytochrome P450 2D6 Inducers [MoA], Cytochrome P450 3A Inducers [MoA], Decreased Central Nervous System Disorganized Electrical Activity [PE]",$27.60,52
16714-843,Amiodarone Hydrochloride,NorthStar Rx LLC,100,mg/1,"Antiarrhythmic [EPC], Cytochrome P450 1A2 Inhibitors [MoA], Cytochrome P450 2C9 Inhibitors [MoA], Cytochrome P450 2D6 Inhibitors [MoA], Cytochrome P450 3A4 Inhibitors [MoA], P-Glycoprotein Inhibitors [MoA]",$16.32,61
51407-645,Bisoprolol Fumarate,"Golden State Medical Supply, Inc.",5,mg/1,"Adrenergic beta-Antagonists [MoA], beta-Adrenergic Blocker [EPC]",$8.44,94
50090-4164,Methocarbamol,A-S Medication Solutions,750,mg/1,"Centrally-mediated Muscle Relaxation [PE], Muscle Relaxant [EPC]",$38.56,89
16729-251,bendamustine hydrochloride,"Accord Healthcare, Inc.",100,mg/20mL,"Alkylating Activity [MoA], Alkylating Drug [EPC]",$51.80,64
